Source:,/home/plutus/load bank/load bank.kicad_sch,,,,,
Date:,Mon 06 Feb 2023 08:38:23 PM,,,,,
Tool:,Eeschema 6.0.11-2627ca5db0~126~ubuntu22.04.1,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
Component Count:,31,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C1, C2, ",2,0.1uf,C,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,Unpolarized capacitor,
"D1, ",1,1.5KExxCA,1.5KExxCA,Diode_THT:D_DO-201AE_P15.24mm_Horizontal,"1500W bidirectional TRANSZORB® Transient Voltage Suppressor, DO-201AE",
"D2, D3, D4, ",3,1N4007,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,"1000V 1A General Purpose Rectifier Diode, DO-41",
"J1, J4, J8, J10, ",4,25SH-B-02-TS,Conn_01x02_Male,Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J2, ",1,LHD-03-TS,LHD-03-TS,Connector_JST:JST_VH_B3P-VH-FB-B_1x03_P3.96mm_Vertical,,
"J3, ",1,EBBA-03-C-SS-BU,"EURO_BLOCK,_3_POSITION_1","load bank:EURO_BLOCK,_3_POSITION",,
"J5, J6, ",2,Conn_01x02_Male,Conn_01x02_Male,Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J7, J9, ",2,696101000002,696101000002_1,696101000002:696101000002,,
"J11, J12, ",2,"EURO_BLOCK,_3_POSITION","EURO_BLOCK,_3_POSITION_2","load bank:EURO_BLOCK,_3_POSITION",,
"K1, K2, ",2,J123F1A5VDC.36,J123F1A5VDC.36_1,Relay_THT:Relay_SPST_SANYOU_SRD_Series_Form_A,,
"M1, ",1,CFM-A225C-018-327-20,Fan,,Fan,
"PS1, ",1,LO10-13B05,LO10-13B05,,,
"Q1, ",1,KSP14,Q_NPN_Darlington_EBC,load bank:KSP13,"NPN Darlington transistor, emitter/base/collector",
"R1, ",1,35ohm,Chassis_resistor_1,,,
"R2, ",1,142.6K,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,Resistor,
"R3, R4, ",2,100R,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,
"R5, ",1,5.1K,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,
"U1, ",1,TC624VPA,TC624VAT,load bank:DIP-8_300_ELL,,
